21419	2.51	-16.21	0.54	-8	36	9	-15	-27	229	0.00	0.00	0.00	28.28	1548.09	325.07
21439	2.30	-14.59	0.60	-5	29	10	-16	-21	231	0.00	0.00	0.00	28.28	1548.09	325.07
21459	1.97	-13.08	0.66	-7	34	14	-17	-23	231	0.00	0.00	0.00	28.28	1548.09	325.12
21482	1.69	-11.48	0.71	-7	31	7	-14	-25	230	0.00	0.00	0.00	28.29	1546.06	325.12
21502	1.52	-10.32	0.72	-9	35	16	-14	-28	230	0.00	0.00	0.00	28.29	1546.06	325.12
21522	1.43	-9.25	0.72	-13	26	9	-13	-28	228	0.17	-0.12	0.64	28.29	1546.06	325.12
21542	1.37	-8.31	1.97	-14	17	14	-15	-27	229	0.17	-0.12	0.64	28.29	1546.06	325.10
21562	1.30	-7.42	3.23	-4	31	10	-12	-25	229	0.17	-0.12	0.64	28.29	1546.85	325.10
21582	1.19	-6.71	4.47	-2	43	12	-11	-24	228	0.17	-0.12	0.64	28.29	1546.85	325.10
21602	1.06	-6.08	5.70	-8	29	16	-15	-26	229	0.17	-0.12	0.64	28.29	1546.85	325.10
21622	0.99	-5.43	6.92	-9	36	13	-13	-27	229	0.17	-0.12	0.64	28.29	1546.85	325.07
21642	0.95	-4.89	8.12	-7	37	10	-12	-26	230	0.17	-0.12	0.64	28.28	1548.09	325.07
21662	0.89	-4.42	9.01	-5	34	11	-13	-26	232	0.17	-0.12	0.64	28.28	1548.09	325.07
21682	0.83	-3.99	9.88	-10	38	12	-11	-25	231	0.17	-0.12	0.64	28.28	1548.09	325.07
21702	0.76	-3.63	10.74	-2	26	12	-12	-26	231	0.17	-0.12	0.64	28.28	1548.09	325.10
21722	0.72	-3.28	11.58	-7	23	8	-14	-27	230	0.17	-0.12	0.64	28.29	1546.10	325.10
21742	0.70	-2.93	12.40	-6	36	12	-15	-24	230	0.17	-0.12	0.64	28.29	1546.10	325.10
21762	0.61	-2.59	13.21	-7	29	10	-13	-26	231	0.17	-0.12	0.62	28.29	1546.10	325.10
21782	0.58	-2.33	13.86	-6	35	13	-15	-25	229	0.17	-0.12	0.62	28.29	1546.10	325.03
21802	0.53	-2.06	14.51	-6	39	10	-15	-29	230	0.17	-0.12	0.62	28.28	1549.94	325.03
21822	0.57	-1.82	15.13	-7	34	12	-14	-27	231	0.17	-0.12	0.62	28.28	1549.94	325.03
